Pose world in camera : 
  0.982283 -0.0108853   0.187088   0.680375
         0  -0.998312 -0.0580846  -0.211234
 -0.187404 -0.0570555   0.980624     3.5662
         0          0          0          1

Projections : 
87.6123 147.952
107.981 149.371
130.057 151.372
154.253 154.031
181.097  157.45
211.306  161.77
87.0712 126.416
107.052 127.173
128.716 128.395
152.463 130.138
178.811 132.474
208.461 135.498
86.7975 105.937
106.473 106.062
127.816 106.544
151.225 107.419
177.215  108.73
206.485 110.528
86.7982 86.3028
106.249 85.8192
127.363 85.5844
150.543 85.6156
176.311 85.9256
205.379 86.5195
87.0768    67.3
 106.39 66.2215
127.369 65.2768
150.435 64.4628
176.127 63.7591
205.183 63.1224
87.6321 48.6792
106.904 47.0083
127.859 45.3415
150.941 43.6513
 176.72 41.8799
205.979 39.9288

