Pose world in camera : 
 0.970323 0.0765105   0.22939   0.59688
        0 -0.948625  0.316404  0.823295
-0.241813  0.307014  0.920472    2.3951
        0         0         0         1

Projections : 
63.1212 357.771
105.366 372.771
154.424 394.459
214.218 425.309
291.048 469.365
395.602 533.274
67.9128 284.693
104.573 294.478
 146.74 308.511
197.234  328.22
260.512 355.963
344.083 395.616
71.3569 230.362
104.138 236.797
 141.59 246.017
185.836 258.867
240.175 276.742
310.118 301.925
 74.233 187.737
104.218 191.823
138.307 197.779
178.174 206.118
226.376 217.665
287.15 233.76
76.9338 152.811
104.831 155.129
136.423 158.716
173.091 163.882
216.918 171.105
271.311 181.139
79.6437 123.233
105.934 124.152
135.613 125.918
169.869 128.708
210.477 132.775
260.303 138.488

