Pose world in camera : 
     0.99761 -0.000473163   -0.0690949    -0.270431
           0    -0.999977   0.00684785    0.0268018
   0.0690966   0.00683148     0.997587      3.90446
           0            0            0            1

Projections : 
 24.654 166.566
44.2104 165.133
63.6519 164.343
83.2959 164.131
103.391 164.453
124.149 165.282
26.0028 144.291
 44.951 143.035
63.8396 142.305
82.9694 142.056
102.575 142.255
122.852 142.881
27.2769 123.537
45.7337 122.399
 64.167 121.685
82.8675 121.366
 102.06 121.421
121.933 121.835
28.5096 104.006
46.5822 102.953
 64.649 102.228
82.9964 101.818
101.845 101.714
121.381 101.906
29.7136 85.4324
47.5052 84.4521
65.2906 83.7044
83.3579 83.1945
 101.93 82.9224
121.193 82.8834
30.8811 67.5555
48.4968 66.6573
66.0876  65.892
83.9495 65.2817
102.312 64.8372
 121.37 64.5593

