Pose world in camera : 
 0.989998 0.0275439  -0.13837 -0.514226
        0 -0.980758  -0.19523 -0.725537
 0.141085 -0.193277  0.970948   3.60835
        0         0         0         1

Projections : 
7.63169 114.448
27.4225  112.79
46.5262 111.588
65.4021 110.798
84.3657 110.386
103.642 110.323
8.28898 94.7187
28.0594 93.3596
  47.12 92.3258
65.9553 91.6087
 84.896 91.1959
104.176 91.0726
8.79352 75.1979
28.6945 74.1673
47.8231 73.3118
66.7025 72.6622
85.6888 72.2331
105.034  72.026
9.06497 55.5443
29.2856 54.9244
48.6213 54.2944
67.6505 53.7332
86.7681  53.288
106.254 52.9806
8.96314 35.2673
29.7491 35.2124
49.4741  34.908
 68.793 34.4926
88.1555 34.0545
107.882 33.6424
8.26694 13.6358
29.9452 14.4013
50.3057 14.5968
70.1055 14.4375
89.8696 14.0652
109.975 13.5643

