Pose world in camera : 
  0.987226 0.00478126   0.159251   0.335448
         0   -0.99955  0.0300099  0.0632129
 -0.159323  0.0296265   0.986782    2.07856
         0          0          0          1

Projections : 
34.4575 230.732
70.6082 233.627
110.142 239.561
155.304 249.056
209.147 263.125
276.519 283.542
36.8224 183.785
70.3922 185.246
107.223 188.863
149.253 194.962
199.078 204.187
260.864 217.675
38.8509 143.751
70.5494  143.94
105.421 145.627
145.211 149.022
192.227 154.508
250.202 162.732
40.8411  108.51
71.2244 107.542
104.695 107.537
142.903 108.632
188.021 111.007
243.573 114.906
 42.921 76.5459
72.4717 74.5446
105.014 73.0104
142.195 72.0144
 186.19 71.5506
240.519 71.4821
45.0659  46.504
74.267  43.61
106.361 40.6465
143.081 37.5978
186.735 34.2479
241.033 30.0567

