Pose world in camera : 
   0.983063 -0.00565701     0.18318    0.717353
          0   -0.999523  -0.0308675    -0.12088
  -0.183268  -0.0303447    0.982595     3.84794
          0           0           0           1

Projections : 
90.4976 151.205
109.783 152.663
130.579 154.648
153.225 157.222
178.147 160.474
205.911 164.516
90.0148 130.697
108.912 131.563
129.293 132.857
151.486 134.626
175.905 136.932
203.099 139.857
89.7737 111.237
108.354 111.542
  128.4 112.185
150.234 113.197
174.264 114.618
201.031 116.497
89.7786 92.6376
108.111 92.4068
127.898 92.4245
149.462 92.7093
173.213  93.279
199.693 94.1497
90.0318 74.7211
108.186   73.97
127.791  73.377
149.176 72.9457
 172.76 72.6711
199.095  72.536
90.5331 57.2937
108.583 56.0304
128.089 54.8273
149.394 53.6713
172.931 52.5322
199.276  51.357

