Pose world in camera : 
  0.998187 -0.0110389 -0.0591727  -0.203127
         0   -0.98304   0.183389   0.629534
 0.0601936   0.183057   0.981258    3.36844
         0          0          0          1

Projections : 
7.47245 249.324
34.8615 245.713
 61.483 243.839
88.0971 243.464
115.297 244.438
143.586 246.682
12.0013 211.825
37.2211 209.164
61.9483 207.821
86.8262 207.624
 112.35 208.465
 138.94 210.286
15.6615 179.927
39.1869  177.88
62.4158 176.837
85.9032 176.679
110.072 177.329
 135.28 178.747
18.7545 152.191
40.9441 150.532
62.9711 149.638
85.3256 149.431
108.378 149.861
132.442 150.898
21.4779 127.606
42.6088 126.192
63.6618 125.354
85.0807 125.047
107.201 125.242
130.303 125.919
23.9525 105.441
44.2462 104.189
64.5073 103.355
85.1487 102.924
106.483 102.881
128.773 103.214

