Pose world in camera : 
   0.947343 -0.00436832     0.32019    0.821944
          0   -0.999907  -0.0136416  -0.0350187
   -0.32022  -0.0129233    0.947255     2.43165
          0           0           0           1

Projections : 
99.8309  189.15
130.395  195.19
166.275 203.412
209.718 214.619
264.448 230.112
336.986 252.049
98.3689 155.589
127.671 159.351
161.966 164.675
  203.3 172.094
255.066 182.465
323.254 197.191
97.4907  125.05
125.841 126.846
158.971 129.701
198.808 133.938
248.558 140.048
313.908 148.796
97.2021 96.8038
124.868  96.836
157.194 97.4856
 196.07 98.8905
244.641 101.212
308.517 104.633
97.5063 70.2376
124.746 68.6245
156.618 67.1931
195.048 65.8933
243.257 64.5511
306.998 62.7538
98.4037 44.7096
125.501   41.48
157.299 37.9456
195.846 33.8357
244.581 28.5903
309.632 21.1205

