Pose world in camera : 
 0.966368 0.0243742  0.256006  0.762124
        0 -0.995498  0.094781  0.282161
-0.257164 0.0915933  0.962017   2.86391
        0         0         0         1

Projections : 
91.7952 213.668
119.784 219.318
151.479 226.824
188.204 236.687
 231.92 249.673
 285.68 266.939
91.3018 180.057
117.851 183.941
147.828 189.204
182.395 196.195
223.267 205.442
273.119  217.74
91.1735 150.247
116.584 152.657
145.216 156.082
178.116 160.759
216.828 167.034
263.759 175.424
91.4239  123.35
115.932 124.489
143.51 126.35
 175.13 129.083
 212.22 132.893
257.009  138.07
92.0548  98.716
115.857 98.7272
142.622 99.2101
173.279 100.239
209.192 101.899
252.486 104.287
  93.06 75.8289
116.334 74.8124
  142.5 74.0322
172.476 73.4937
207.606 73.1698
249.972 72.9792

