Pose world in camera : 
   0.997765 -0.00811172   0.0663194    0.239193
          0   -0.992603   -0.121408   -0.437881
 -0.0668136   -0.121137    0.990385       3.572
          0           0           0           1

Projections : 
 57.433 131.676
76.6332 131.593
96.7204 131.962
117.976 132.795
140.692 134.111
 165.21 135.944
57.4286 111.288
76.3951 110.897
96.2582 110.875
117.301 111.234
139.818 111.987
164.154 113.153
 57.585 91.6047
76.3962 90.9057
96.1091 90.4907
117.015 90.3709
139.418 90.5546
163.672 91.0465
57.9033 72.4173
76.6459 71.4172
96.2899 70.6073
117.142 69.9991
139.523 69.5937
163.806 69.3806
58.3686 53.4694
77.1452 52.1839
96.8168 50.9783
117.714  49.864
140.183 48.8335
164.627 47.8582
58.9456 34.4124
77.8839 32.8661
97.7046  31.264
118.772 29.6156
141.467 27.9025
166.234 26.0745

