Pose world in camera : 
  0.999043   0.007462 -0.0431069  -0.166997
         0  -0.985346  -0.170568  -0.660786
  0.043748  -0.170405   0.984403    3.81361
         0          0          0          1

Projections : 
34.8828 116.077
52.7179 115.173
70.7193  114.63
89.1357 114.433
 108.17 114.572
128.005 115.039
 35.223 97.5807
52.9706  96.656
70.8887 96.0186
89.2358 95.6655
108.222 95.5922
128.035 95.7935
35.6054 79.4227
 53.349 78.4817
71.2526 77.7454
89.5904  77.224
108.585 76.9209
128.436 76.8329
36.0059 61.3866
53.8459 60.4534
71.8174  59.627
 90.218 58.9331
 109.29 58.3837
129.249 57.9786
 36.374 43.1764
54.4365 42.3014
72.5804 41.4113
91.1352   40.55
 110.37 39.7401
130.526 38.9852
36.6243 24.3666
55.0726 23.6342
73.5259 22.7302
92.3559 21.7199
111.868  20.639
132.338 19.4962

