Pose world in camera : 
    0.99449 -0.00694443      0.1046     0.36889
          0   -0.997804  -0.0662446   -0.233623
   -0.10483  -0.0658796    0.992306     3.49954
          0           0           0           1

Projections : 
64.8736 147.926
85.0895 148.452
106.493  149.54
129.421 151.221
154.256 153.548
 181.47 156.594
64.8217 125.908
84.6427 125.998
105.649 126.547
128.171 127.579
152.582 129.132
179.344 131.254
64.9604 104.995
 84.475 104.659
105.173 104.683
127.385 105.087
151.482 105.893
177.928 107.127
65.2996 84.9489
84.5968  84.198
105.075 83.7075
127.071 83.4915
150.964 83.5581
177.231 83.9085
65.8374 65.5217
85.0129 64.3695
105.366 63.3695
127.248  62.529
151.058 61.8403
177.293 61.2775
66.5576 46.4164
85.7219 44.8788
 106.06 43.3678
127.948 41.8821
151.812 40.3955
178.184  38.851

