Pose world in camera : 
  0.991726 -0.0260329   0.125703   0.464297
         0  -0.979221  -0.202796   -0.74905
  -0.12837  -0.201118   0.971119    3.58694
         0          0          0          1

Projections : 
74.5105 108.726
93.0586 108.664
112.811 108.935
134.053 109.561
157.121 110.568
182.441 111.986
74.0533 90.0481
92.5692 89.5465
112.307  89.301
133.567 89.3262
  156.7 89.6342
182.155 90.2335
73.8105 71.5844
92.3649 70.6387
112.162 69.8619
133.523   69.26
156.823 68.8287
182.543 68.5503
73.7831 53.1278
92.4643 51.7331
112.413 50.4017
133.977 49.1287
 157.57 47.8897
183.718 46.6344
73.9584 34.3734
92.8822 32.5217
113.102 30.5994
135.006 28.5865
159.056  26.432
185.843 24.0451
74.3047  14.854
93.6275 12.5293
114.282 9.95831
136.71 7.0994
 161.44 3.86604
 189.145 0.114311

