Pose world in camera : 
   0.99308 0.00925191   0.117071   0.465309
         0  -0.996892  0.0787825   0.313127
 -0.117436  0.0782373   0.989994    3.93481
         0          0          0          1

Projections : 
73.0914 184.466
92.8151 185.906
113.692 187.997
136.022 190.786
160.152 194.347
186.508 198.781
 73.224 161.169
92.2754 162.148
 112.45 163.662
134.025 165.747
 157.32 168.459
182.728 171.872
73.4993 139.723
91.9837 140.273
111.566  141.26
132.505 142.711
  155.1 144.667
179.722 147.181
73.9325 119.797
91.9394 119.945
111.021 120.443
131.425 121.313
153.437 122.583
177.409 124.287
74.5311 101.125
92.1395 100.893
110.802 100.934
 130.76 101.263
152.289 101.896
175.733 102.849
75.2959 83.4784
92.5787 82.8885
110.897 82.4966
 130.49 82.3115
151.631 82.3382
174.659 82.5769

