Pose world in camera : 
   0.996044 -0.00293954  -0.0888108   -0.281809
          0   -0.999453   0.0330808     0.10497
  0.0888594   0.0329499    0.995499     3.15886
          0           0           0           1

Projections : 
1.77749 195.847
28.0708 192.483
53.4135 190.514
78.6129 189.714
104.243 189.935
 130.75 191.086
4.88279 165.002
29.8016 162.355
53.9744 160.785
78.1391 160.135
102.812 160.297
128.391 161.208
 7.5205 137.325
31.3809 135.183
54.6324 133.855
77.9657 133.245
 101.86 133.282
126.679 133.921
9.82665 112.053
32.9008 110.285
55.4408 109.103
 78.112 108.464
101.373 108.332
125.572 108.679
11.8685 88.5594
34.4044 87.1103
56.4225 86.0302
78.5832 85.3281
101.342 85.0012
125.046 85.0372
13.6497 66.2746
35.8893  65.155
57.5717  64.181
79.3714 63.4137
101.758  62.883
125.091 62.5933

