Pose world in camera : 
  0.999721 0.00456892  0.0231676  0.0616159
         0  -0.981103   0.193485   0.514588
-0.0236138   0.193431    0.98083    2.60859
         0          0          0          1

Projections : 
5.04708 286.913
41.5732 284.083
77.9064  284.46
115.642 287.832
 156.24 294.215
201.278 303.865
12.2749 232.699
44.8119  230.81
77.5542 231.192
111.784 233.689
148.655 238.307
189.412 245.219
17.6607 189.427
47.2978 187.989
77.4026 188.171
109.033  189.87
143.128 193.089
  180.7 197.942
21.9712  153.55
49.4645 152.259
77.5815 152.123
107.225 153.089
139.188  155.16
174.328 158.404
25.663 122.84
51.5529 121.529
78.1412 121.027
106.228 121.319
136.514 122.412
169.755 124.337
28.9852 95.8284
53.6777 94.4313
 79.082 93.5621
105.936 93.2379
134.886 93.4689
166.634  94.258

