Pose world in camera : 
 0.972534 0.0279782  0.231071  0.495619
        0 -0.992749  0.120203   0.25782
-0.232759  0.116901  0.965483   2.07084
        0         0         0         1

Projections : 
52.3673 265.709
91.212 273.87
135.868 286.527
189.777 305.225
258.541 332.705
 352.17 373.771
54.9532 211.265
90.2637 216.303
130.731 224.344
179.105 236.317
239.802 253.885
320.757 279.987
57.1357 166.916
89.9082 169.605
127.407 174.305
171.935 181.574
 227.14 192.386
299.596 208.445
59.3074 129.334
90.2394 130.121
125.596 132.216
167.408 135.938
218.862 141.803
285.693 150.645
61.6664 96.4497
91.2776 95.6308
125.094 95.5632
165.005 96.3958
213.967 98.2916
277.266 101.419
64.2793 66.8215
93.0021 64.6081
125.777 62.6413
 164.46 60.9107
211.953 59.2652
273.394  57.289

