Pose world in camera : 
  0.98268 0.0300509  0.182856  0.746543
        0 -0.986763  0.162167  0.662075
-0.185309  0.159358  0.969673   3.95887
        0         0         0         1

Projections : 
92.2087 213.079
113.352 216.441
136.199 220.708
161.175 226.011
188.816 232.532
219.829 240.513
91.9469 187.019
 112.16 189.563
133.979 192.833
157.781 196.927
184.044 201.982
213.399 208.179
91.8879  163.54
111.321 165.376
132.278 167.793
155.102 170.867
180.225 174.696
208.218 179.416
92.0359 142.143
110.809 143.353
131.039 145.028
153.042 147.221
177.217 150.004
204.087  153.47
92.3895  122.45
110.603   123.1
130.217 124.114
151.529  125.53
174.912 127.397
200.856 129.775
92.9441 104.165
110.682 104.305
129.775 104.722
150.506  105.44
173.232 106.486
198.417 107.892

