Pose world in camera : 
 0.992531  0.024136  0.119584  0.487622
        0 -0.980234  0.197843  0.806733
-0.121996  0.196365  0.972912   3.96719
        0         0         0         1

Projections : 
73.8549 228.023
95.1647 230.423
117.742 233.744
141.954 238.066
168.226 243.507
 197.09 250.234
74.3256 199.862
94.5439 201.686
115.968 204.247
138.919 207.605
 163.77 211.851
190.986 217.108
74.8545 174.886
94.1639 176.201
114.627 178.109
136.529 180.657
160.202 183.909
 186.06 187.958
75.4782 152.432
94.0229  153.29
113.676 154.627
134.695 156.476
157.382 158.886
182.108 161.922
76.2179 132.011
94.1137 132.455
113.077 133.282
133.347 134.518
  155.2 136.197
178.978 138.363
77.0834 113.251
94.4261 113.316
112.801 113.684
132.431 114.372
153.575 115.404
176.554 116.804

