Pose world in camera : 
  0.995806 -0.0139229  0.0904232   0.299414
         0  -0.988353  -0.152182  -0.503912
-0.0914888  -0.151543   0.984208    3.25896
         0          0          0          1

Projections : 
58.9595 128.767
79.5513 128.751
101.308 129.247
124.596 130.278
149.817  131.88
177.467 134.106
 58.738 107.113
79.1251 106.679
 100.69 106.653
123.805 107.054
148.881 107.907
176.425  109.24
58.7131 86.1092
78.9918 85.2585
100.457 84.7057
123.498 84.4676
148.545 84.5543
176.127 84.9673
 58.882 65.4951
79.1649 64.2377
100.638  63.152
123.719 62.2507
 148.87 61.5277
176.663 60.9533
59.2179 44.9198
79.6463 43.2752
101.263 41.6466
124.528 40.0404
149.953 38.4297
178.168 36.7467
59.6603 23.8624
80.4212 21.8586
102.363 19.6693
126.006   17.29
151.929 14.6657
180.846 11.6805

