Pose world in camera : 
    0.999892 -0.000697119   -0.0146485   -0.0570331
           0     -0.99887    0.0475361      0.18508
    0.014665     0.047531     0.998762      3.88864
           0            0            0            1

Projections : 
37.7208 178.187
57.4583 177.496
77.4667 177.462
98.0345 178.046
119.415  179.23
141.853 181.015
38.8523  154.85
57.8965 154.173
77.2514 154.037
97.1852 154.414
117.932 155.291
139.718 156.667
39.9536  133.33
58.4244 132.624
77.2323 132.359
96.6313 132.518
116.842 133.091
138.077 134.079
41.0639 113.286
 59.066 112.523
77.4191 112.113
96.3685 112.048
116.126 112.323
136.898 112.936
42.2043 94.4329
 59.833 93.6025
77.8148  93.041
96.3914 92.7497
115.772 92.7282
136.159 92.9743
43.3792 76.5131
60.7257 75.6174
78.4162 74.9071
96.6939 74.3926
 115.77 74.0773
135.849 73.9585

