Pose world in camera : 
    0.999452 -0.000459225     0.033112      0.10794
           0    -0.999904   -0.0138675   -0.0452059
  -0.0331152   -0.0138599     0.999355      3.25774
           0            0            0            1

Projections : 
 40.429 170.834
62.9909 170.532
 86.264 171.052
110.691 172.379
136.694 174.526
164.736 177.544
41.3082 144.802
63.1372 144.317
85.7098 144.495
109.445 145.328
 134.74 146.826
162.028 149.024
42.2232 120.707
63.4744  120.01
85.4867 119.835
108.666 120.183
133.394 121.062
160.091 122.492
43.2126 98.1279
64.0283 97.2083
85.6066 96.6788
108.351 96.5484
132.641 96.8246
158.894 97.5131
44.2854 76.6845
 64.806 75.5533
86.0743 74.6768
108.502 74.0735
 132.48 73.7491
158.432 73.6952
45.4207 55.9812
65.7958 54.6701
86.8871 53.4643
109.127 52.3916
132.926 51.4551
158.733 50.6314

