Pose world in camera : 
 0.971866 0.0180368  0.234845   0.83239
        0 -0.997064 0.0765775  0.271423
-0.235536  0.074423  0.969012   3.43459
        0         0         0         1

Projections : 
98.1862  192.26
121.455 196.023
147.181 200.856
176.052 206.974
209.004 214.685
247.377 224.416
97.5409 165.682
119.923 168.346
144.632 171.847
172.294 176.344
203.762 182.057
240.257 189.298
97.2134 141.417
118.866 143.119
142.745 145.467
169.431 148.574
199.718 152.593
234.738 157.736
97.2013 119.016
118.256 119.855
141.461 121.179
167.366 123.061
196.723 125.598
230.609 128.914
97.4998 98.1233
118.072 98.1753
140.737  98.566
 166.03 99.3358
 194.68 100.529
227.727 102.193
98.1029   78.44
118.299 77.7581
 140.55 77.2757
165.387 77.0006
193.532 76.9276
226.013 77.0321

