Pose world in camera : 
   0.999968  0.00165016  0.00784753   0.0258648
          0   -0.978599    0.205777    0.678225
-0.00801915     0.20577    0.978568     3.22528
          0           0           0           1

Projections : 
23.5784 259.998
51.6537 258.557
 79.874 258.897
108.989 260.907
139.681 264.564
172.645 269.931
27.5528 219.732
53.3316 218.698
79.4223 219.007
106.451 220.576
134.979 223.388
165.583  227.49
30.7542 185.915
54.7514 185.069
79.1738 185.243
104.554  186.38
131.367 188.468
160.098  191.54
33.4908 156.806
56.0854 156.005
79.1762 155.982
103.227 156.703
 128.65 158.158
155.866  160.37
35.9584  131.22
57.436 130.38
79.4471  130.13
102.407 130.453
126.684 131.345
152.654 132.819
38.2733 108.327
58.8564 107.405
79.9842 106.919
 102.04 106.868
125.361 107.251
150.295 108.074

