Pose world in camera : 
   0.98845 0.00226329   0.151529   0.542715
         0  -0.999888  0.0149347  0.0534899
 -0.151546  0.0147622    0.98834    3.53983
         0          0          0          1

Projections : 
76.7288 170.753
97.8597 172.385
120.549 174.733
 145.21 177.876
172.348 181.926
202.628 187.041
76.5822  146.87
97.0945 147.877
119.128 149.463
143.069 151.686
169.396 154.629
198.734 158.405
76.6515 124.663
96.6552 125.088
 118.15 125.972
141.507 127.357
167.183 129.301
 195.78 131.876
76.9492 103.817
 96.542 103.694
117.602 103.921
140.493 104.526
165.663 105.541
193.701 107.002
77.4797 84.0632
 96.754 83.4206
117.478 83.0212
140.015 82.8796
164.814 83.0044
192.465 83.3959
78.2399 65.1399
97.2892 64.0001
117.776 62.9929
140.073 62.1184
164.638 61.3603
192.075 60.6819

