Pose world in camera : 
  0.997058 -0.0121025  -0.075696  -0.295083
         0  -0.987459   0.157878   0.615449
 0.0766574   0.157413   0.984553    3.83805
         0          0          0          1

Projections : 
15.3894 223.514
38.1312 220.891
60.3933  219.39
82.6394 218.867
105.232 219.223
128.472 220.399
18.3514 193.922
 39.719 191.876
  60.76 190.717
81.8806 190.337
103.395 190.663
125.564  191.65
20.8761 167.837
41.1284 166.184
61.1667 165.234
81.3529 164.909
101.964 165.155
123.231 165.939
23.1079 144.491
42.4508 143.104
61.6589 142.271
81.0607 141.941
100.907 142.075
121.404  142.65
25.1448  123.31
43.7454 122.105
62.2628  121.33
81.0014 120.957
100.193 120.961
120.029 121.325
27.0472 103.855
45.0456 102.779
62.9893 102.029
81.1663 101.591
99.7967 101.454
119.061 101.608

