Pose world in camera : 
  0.974999 -0.0324788   0.219821    0.70184
         0   -0.98926  -0.146164  -0.466668
 -0.222208   -0.14251   0.964528    3.07952
         0          0          0          1

Projections : 
89.4587 132.183
111.812 133.406
136.475 135.265
164.081 137.865
  195.5 141.351
231.989 145.918
88.4944  109.51
110.588  109.86
134.987  110.69
162.333 112.068
193.504 114.081
229.784 116.837
87.8757 87.5822
109.813 87.0779
134.073 86.8939
161.316 87.0611
192.454 87.6034
228.828 88.5319
87.6167 66.1445
109.517 64.7888
133.776 63.5763
161.095 62.4941
192.448 61.4941
229.269 60.4746
87.7243 44.8595
109.733 42.6333
134.164 40.3371
161.782 37.9026
193.654  35.192
231.358 31.9641
88.1927 23.2265
110.503 20.0735
135.333 16.5775
 163.54 12.5943
196.33  7.868
235.484 1.97675

