Pose world in camera : 
  0.999479 -0.0070424 -0.0315042  -0.124725
         0  -0.975914   0.218154    0.86367
 0.0322817   0.218041   0.975406    3.86162
         0          0          0          1

Projections : 
26.4738 246.695
49.6759 244.956
72.7758 244.404
96.2084 244.936
120.346 246.491
145.533 249.047
29.4216 214.146
51.0428 212.833
72.6866 212.453
94.7246 212.926
117.472 214.209
141.222 216.285
 31.891 186.002
52.235 184.95
72.6915 184.634
 93.583 184.997
115.181 186.007
137.739 187.653
34.0536 161.238
53.3537 160.331
72.8286 160.008
92.7629 160.231
113.396 160.974
134.949 162.231
36.0254 139.116
 54.464 138.278
73.1175 137.903
92.2423 137.968
112.053 138.454
132.749 139.357
37.8811 119.093
55.6042 118.277
73.5645 117.825
91.9981 117.724
111.102 117.964
 131.06 118.541

