Pose world in camera : 
   0.99202 -0.0154018   0.125133   0.441905
         0   -0.99251  -0.122162  -0.431413
 -0.126077  -0.121187    0.98459    3.47707
         0          0          0          1

Projections : 
70.8958 132.274
90.6955 132.688
111.798 133.581
134.539 134.989
159.315 136.962
186.628 139.567
70.5762 111.499
90.1344 111.431
    111 111.749
133.509 112.479
 158.06 113.654
185.161 115.314
70.4788 91.4477
89.8739 90.9052
110.582 90.6529
132.949 90.7088
157.384 91.0881
184.411 91.8024
70.6091 71.9129
89.9276 70.9027
110.567 70.0786
132.891 69.4487
157.329 69.0087
184.434 68.7383
70.9615 52.6397
90.3054 51.1684
110.981 49.7615
133.378 48.4149
 157.96 47.1011
185.322 45.7625
71.5147  33.279
91.0118 31.3499
111.855 29.3356
134.473 27.2155
159.376 24.9328
187.219 22.3846

