Pose world in camera : 
  0.996579  -0.007096  0.0823437   0.279958
         0  -0.996307 -0.0858571  -0.291903
-0.0826489 -0.0855634   0.992899    3.37572
         0          0          0          1

Projections : 
57.4045 145.145
 78.067 145.343
99.8091 146.121
122.985 147.501
147.977 149.522
175.247 152.245
57.4551 122.673
77.7381 122.489
99.1073 122.777
121.912 123.554
146.529  124.85
173.413 126.703
57.6781 101.272
77.6792 100.708
98.7692  100.51
121.301 100.696
145.654 101.281
172.288 102.284
58.0823  80.683
77.9024 79.7478
98.8094 79.0693
121.168  78.662
145.371 78.5313
171.895 78.6724
58.6587 60.6196
78.4109 59.3304
99.2427 58.1744
 121.54 57.1634
145.722 56.2893
172.292 55.5212
59.3766 40.7196
79.1966 39.1016
100.083 37.4689
122.456 35.8284
 146.77 34.1557
173.575 32.3894

