Pose world in camera : 
  0.973865 -0.0195512   0.226286   0.786745
         0  -0.996288 -0.0860797   -0.29928
 -0.227129   -0.08383    0.97025    3.37334
         0          0          0          1

Projections : 
95.5584 143.076
116.981 144.752
140.531 147.065
166.756 150.123
196.394 154.069
 230.49 159.102
94.7287 121.044
115.787   121.9
138.947 123.251
164.744 125.174
193.907 127.763
 227.47 131.146
94.2203 99.9864
115.007 100.059
137.883 100.492
163.387 101.329
192.253  102.62
225.525 104.419
94.0423 79.6847
114.651 78.9956
137.354 78.5288
162.705 78.2957
191.457 78.2952
224.691 78.5064
94.2018 59.8996
114.736 58.4548
137.389 57.0803
 162.74 55.7506
191.585 54.4079
225.062 52.9459
 94.703 40.3293
115.287 38.1129
138.034 35.7883
163.569 33.2855
192.748 30.4784
226.801 27.1602

