Pose world in camera : 
   0.9641 0.0136743  0.265188  0.912936
        0 -0.998673  0.051496   0.17728
 -0.26554 0.0496473  0.962821   3.31461
        0         0         0         1

Projections : 
104.921 186.237
128.922 190.325
155.768 195.559
186.291 202.205
221.671 210.641
263.644 221.412
104.006 159.692
127.145 162.539
152.981 166.271
182.279 171.082
216.121 177.244
256.105 185.142
103.465 135.323
125.903 137.077
150.925 139.503
179.251 142.734
211.894 146.952
250.355 152.411
103.292 112.704
125.163 113.477
 149.54 114.734
177.109 116.559
208.843 119.058
246.181 122.367
103.479 91.4961
124.907  91.364
148.787 91.5459
175.792 92.0779
206.878 92.9946
243.454 94.3252
104.021 71.3953
125.123 70.4099
 148.65 69.5699
175.277 68.8652
205.963 68.2596
242.119 67.6769

