Pose world in camera : 
 0.991061 0.0321465  0.129478   0.52095
        0 -0.970535  0.240962  0.969503
-0.133409  0.238808  0.961859   3.87001
        0         0         0         1

Projections : 
75.2516 249.034
97.9708   252.2
122.158 256.508
148.261 262.077
176.812  269.08
208.486 277.761
75.8847 217.409
97.2391 219.842
119.968 223.172
144.453 227.488
171.153 232.917
200.642  239.64
76.5312 189.901
96.7662  191.71
118.298 194.229
141.461 197.525
166.651 201.692
194.369  206.86
77.2453 165.576
96.5497 166.841
117.086 168.672
 139.15 171.118
163.092 174.246
189.355 178.152
78.0587 143.764
96.5797 144.547
116.276 145.781
137.416 147.502
160.314 149.758
185.369 152.614
 78.987 123.973
96.8425 124.325
115.824 125.033
136.179 126.123
158.195 127.627
182.238 129.588

