Pose world in camera : 
 0.991965 0.0290143  0.123139  0.278917
        0 -0.973346  0.229342   0.51947
-0.126511  0.227499  0.965525   2.18696
        0         0         0         1

Projections : 
12.7059 333.006
57.2956 335.908
104.485 344.296
157.386  358.93
219.983 381.357
298.168 414.271
22.3758 259.394
60.8016 261.282
101.763 266.756
147.597 276.222
 201.22 290.579
266.955 311.446
29.0437 204.574
63.2649 205.601
 99.985 209.016
141.026 215.045
188.616 224.215
246.055  237.48
 34.159 161.356
 65.426 161.561
99.1357  163.37
136.775 166.924
180.133 172.527
231.856 180.714
38.5058 125.676
67.6423 125.102
99.1358 125.589
134.261 127.234
 174.54 130.198
222.211 134.737
42.4753 95.1263
70.0562 93.8519
99.8856 93.2227
133.112 93.3071
171.106 94.1671
215.864 95.8526

