Pose world in camera : 
  0.983822 0.00735447   0.178995   0.639355
         0  -0.999157  0.0410529   0.146637
 -0.179146  0.0403888   0.982993    3.51116
         0          0          0          1

Projections : 
83.5598 179.292
105.359 181.588
128.983 184.703
154.914  188.75
183.771 193.893
 216.39 200.358
83.2803 154.431
104.365 155.962
127.211 158.148
152.266 161.073
180.103 164.857
211.501 169.662
83.2437 131.487
103.739 132.322
125.945 133.673
150.287 135.601
177.305 138.187
207.738  141.54
83.4597 110.099
103.474 110.291
125.159 110.876
148.927 111.894
175.301 113.394
204.993 115.435
83.9312 89.9687
103.562 89.5598
124.835 89.4273
148.157 89.5925
174.044 90.0739
203.199 90.8852
84.6557 70.8259
103.999 69.8466
124.965 69.0275
147.964 68.3704
173.518 67.8629
202.334 67.4725

