Pose world in camera : 
  0.998233 -0.0131293 -0.0579469   -0.21662
         0   -0.97528   0.220974   0.826053
 0.0594157   0.220583   0.973557    3.63939
         0          0          0          1

Projections : 
12.7491  257.59
38.4476 254.353
63.5465 252.663
88.6551 252.331
114.261  253.23
140.786 255.291
16.9516 221.196
40.6268 218.808
63.9304 217.608
87.3752 217.454
111.368 218.255
136.258  219.96
20.3601 190.248
42.4357 188.414
64.3041 187.499
86.4046 187.399
109.082 188.049
132.634 189.412
23.2446 163.381
44.0399 161.901
64.7434 161.135
85.7386  161.01
107.325  161.48
129.76 162.52
 25.786 139.635
45.5462 138.378
65.2915 137.673
85.3642 137.474
106.031 137.752
 127.52 138.487
28.1006  118.32
47.0188 117.203
65.9687 116.507
85.2631 116.208
105.146 116.288
125.825 116.736

