Pose world in camera : 
 0.967313 0.0100479  0.253388  0.984457
        0 -0.999215  0.039623  0.153942
-0.253587 0.0383278  0.966553   3.75523
        0         0         0         1

Projections : 
108.975 173.925
130.215 177.047
153.633 180.967
 179.77 185.837
209.362 191.867
243.435  199.34
108.105 151.101
128.728 153.306
151.439 156.144
176.747 159.731
205.341 164.219
238.185 169.814
107.551 129.834
 127.66 131.212
 149.79 133.083
174.426 135.527
202.224 138.651
234.102 142.594
107.306 109.856
126.994 110.474
148.654 111.458
172.755 112.862
199.934 114.746
231.082 117.188
107.364 90.9365
126.716 90.8434
148.007  90.999
171.701 91.4266
198.426 92.1481
229.062 93.1819
107.722 72.8672
126.822 72.0955
147.844 71.4548
171.254 70.9402
197.685 70.5332
 228.02 70.1938

