Pose world in camera : 
 0.991819 0.0215968   0.12581  0.495606
        0 -0.985584  0.169187  0.666477
-0.127651  0.167802  0.977521   3.85075
        0         0         0         1

Projections : 
73.8085 218.721
 95.314 221.061
118.165 224.312
142.749 228.559
169.522 233.929
199.057 240.596
74.2046 191.055
94.6707 192.794
116.421 195.265
139.796  198.53
  165.2 202.682
193.139 207.853
74.6872 166.366
94.2879 167.573
 115.12 169.369
137.491 171.798
161.763 174.931
188.388 178.863
75.2887 144.044
94.1627 144.772
114.223 145.971
135.751 147.676
159.076 149.936
184.614 152.819
76.0275 123.637
94.2874 123.927
113.694  124.59
134.509 125.653
 157.04 127.149
181.672  129.12
76.9111 104.793
94.6516 104.681
113.504 104.858
133.716 105.341
155.58 106.15
179.459 107.308

