Pose world in camera : 
    0.989878 -0.000330881      0.14192     0.333761
           0    -0.999997  -0.00233145  -0.00548297
   -0.141921  -0.00230785     0.989875      2.32794
           0            0            0            1

Projections : 
42.7008 204.024
74.0265 205.925
107.966 209.816
145.931 215.945
189.714 224.785
241.958 237.135
 43.834 165.638
73.5166 166.499
105.762 168.836
141.843 172.818
183.363  178.76
  232.7 187.189
44.9713  131.61
73.4301 131.502
104.409 132.459
139.099 134.599
178.987 138.113
226.297 143.304
 46.246 100.745
73.8354 99.7332
103.897 99.4263
137.594 99.9049
176.373 101.257
222.406 103.579
47.7013 72.0858
74.7551 70.2491
104.225 68.7604
137.296 67.6632
175.453 66.9408
220.915 66.4841
49.2891 44.6648
76.1655 42.0977
105.396 39.4755
138.245 36.7905
176.307 33.9027
221.957 30.4749

