Pose world in camera : 
  0.996768 -0.0132191   0.079239   0.266144
         0  -0.986368  -0.164551  -0.552687
 -0.080334  -0.164019   0.983181    3.30226
         0          0          0          1

Projections : 
57.2202 124.692
77.4254 124.532
98.6914 124.849
121.361 125.658
145.801  126.99
172.454 128.882
57.0196 103.558
77.0633 103.021
98.1814 102.864
120.726 103.101
145.074 103.752
171.681 104.836
57.0021 82.9685
76.9782  82.056
98.0371 81.4175
120.549 81.0679
144.913 81.0144
171.608 81.2542
57.1609  62.666
77.1817 61.3887
98.2869 60.2619
120.877 59.2992
145.384 58.4944
172.326 57.8184
57.4634 42.2927
77.6723 40.6729
98.9596 39.0495
 121.77 37.4323
146.582 35.7982
173.976 34.0852
57.8414 21.3085
  78.43 19.3808
100.083 17.2477
123.306 14.9117
148.644 12.3266
176.759 9.38839

